time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-08T16:56:31.089Z,24.3748,122.3914,63.14,5.1,mb,,68,0.572,0.76,us,us6000dfmk,2021-02-09T01:18:08.940Z,"62 km W of Yonakuni, Japan",earthquake,4.1,5.4,0.057,103,reviewed,us,us
2021-02-08T16:13:12.943Z,-20.9856,-178.8661,626.74,4.6,mb,,139,4.341,0.71,us,us6000dfly,2021-02-08T16:49:18.040Z,Fiji region,earthquake,14.8,10.8,0.039,200,reviewed,us,us
2021-02-08T14:24:01.433Z,42.3211,144.9477,40.77,5,mww,,80,1.365,0.59,us,us6000dfl9,2021-02-08T15:45:11.701Z,"86 km SSE of Kushiro, Japan",earthquake,8.5,7.6,0.098,10,reviewed,us,us
2021-02-08T12:34:20.683Z,-5.361,145.9113,64.36,5.1,mb,,59,6.338,0.44,us,us6000dfkn,2021-02-08T14:57:54.685Z,"20 km SE of Madang, Papua New Guinea",earthquake,9.8,7.5,0.101,32,reviewed,us,us
2021-02-08T08:59:02.484Z,-9.0577,157.5687,10,5,mb,,46,2.378,0.64,us,us6000dfjm,2021-02-08T09:51:48.040Z,"132 km SE of Gizo, Solomon Islands",earthquake,8.3,1.8,0.078,53,reviewed,us,us
2021-02-08T08:06:19.448Z,-30.2486,-179.4181,340.09,5.5,mww,,72,1.636,0.6,us,us6000dfj3,2021-02-09T15:25:49.988Z,Kermadec Islands region,earthquake,11.3,5.5,0.078,16,reviewed,us,us
2021-02-08T07:54:12.171Z,14.5789,118.8956,10,4.8,mb,,56,8.452,0.61,us,us6000dfit,2021-02-08T08:59:24.040Z,"133 km WSW of San Nicolas, Philippines",earthquake,7.8,1.9,0.053,110,reviewed,us,us
2021-02-08T06:56:19.438Z,-15.6234,-173.7076,32.36,4.9,mb,,70,2.524,0.59,us,us6000dfih,2021-02-08T07:30:45.040Z,"37 km NNE of Hihifo, Tonga",earthquake,15,6.3,0.046,151,reviewed,us,us
2021-02-08T06:39:59.114Z,-34.556,-178.4274,21.45,4.9,mww,,193,3.999,0.77,us,us6000dfia,2021-02-08T07:05:58.040Z,south of the Kermadec Islands,earthquake,14.4,6.8,0.098,10,reviewed,us,us
2021-02-08T01:12:28.351Z,-9.3,111.347,40.47,4.8,mb,,150,1.601,0.7,us,us6000dfh1,2021-02-08T01:29:51.040Z,"140 km SSW of Trenggalek, Indonesia",earthquake,8.9,5.4,0.103,29,reviewed,us,us
2021-02-08T00:00:42.562Z,5.7167,127.051,51.1,5.6,mww,,34,1.986,0.84,us,us6000dfgj,2021-02-09T18:35:54.040Z,"120 km SE of Pondaguitan, Philippines",earthquake,7.5,4.8,0.075,17,reviewed,us,us
2021-02-07T21:57:37.202Z,-3.0553,129.2239,10,4.6,mb,,65,3.024,0.77,us,us6000dffn,2021-02-08T22:05:10.040Z,"46 km NE of Amahai, Indonesia",earthquake,4.9,1.9,0.122,20,reviewed,us,us
2021-02-07T12:25:33.730Z,-23.0214,171.8114,10,4.7,mb,,108,7.861,1.04,us,us6000dfce,2021-02-07T12:54:59.040Z,southeast of the Loyalty Islands,earthquake,12.7,1.9,0.104,28,reviewed,us,us
2021-02-07T09:26:56.210Z,-24.3076,-67.0125,177.64,4.5,mb,,55,1.721,1.01,us,us6000dfbg,2021-02-07T09:46:59.040Z,"71 km W of San Antonio de los Cobres, Argentina",earthquake,4.8,7.5,0.05,119,reviewed,us,us
2021-02-07T05:45:52.249Z,-3.2929,146.0591,10,6.3,mww,,43,1.801,0.87,us,us6000dfad,2021-02-09T06:02:00.358Z,"193 km SW of Lorengau, Papua New Guinea",earthquake,8.4,1.8,0.061,26,reviewed,us,us
2021-02-07T04:22:56.507Z,6.7833,125.2056,15.55,6,mww,,37,0.467,1.38,us,us6000df9r,2021-02-09T04:31:42.813Z,"0 km WSW of Bansalan, Philippines",earthquake,8,3.1,0.048,41,reviewed,us,us
2021-02-07T04:04:41.288Z,-54.813,-135.9412,10,5,mb,,95,39.376,0.74,us,us6000df9m,2021-02-07T04:27:12.040Z,Pacific-Antarctic Ridge,earthquake,13.6,1.8,0.133,18,reviewed,us,us
2021-02-07T02:58:20.364Z,-22.8261,172.0304,10,5,mb,,105,15.154,1.18,us,us6000df9e,2021-02-07T03:16:36.040Z,southeast of the Loyalty Islands,earthquake,14.6,1.9,0.06,89,reviewed,us,us
2021-02-07T02:25:06.293Z,-17.1476,-174.3459,154,4.9,mb,,52,4.058,1.12,us,us6000df96,2021-02-07T02:43:41.040Z,"144 km SSW of Hihifo, Tonga",earthquake,10.1,6.9,0.032,315,reviewed,us,us
2021-02-07T01:56:52.310Z,-20.7555,-177.4664,369.43,5,mb,,49,6.442,1.07,us,us6000df92,2021-02-07T02:14:45.040Z,"238 km W of Haveluloto, Tonga",earthquake,11.5,7.7,0.031,325,reviewed,us,us
2021-02-06T23:28:52.931Z,6.7403,125.0842,16.53,4.8,mb,,81,0.59,0.7,us,us6000df87,2021-02-07T05:11:04.065Z,"11 km WSW of Magsaysay, Philippines",earthquake,6,5.1,0.086,42,reviewed,us,us
2021-02-06T18:39:50.270Z,54.7143,-161.2781,49.96,4.8,mb,,130,0.715,0.77,us,us6000df6i,2021-02-07T03:33:43.727Z,"77 km ESE of King Cove, Alaska",earthquake,5.5,5.3,0.045,165,reviewed,us,us
2021-02-06T17:36:02.338Z,24.6403,122.667,107.67,5.4,mww,,39,0.357,1.22,us,us6000df68,2021-02-07T17:41:29.860Z,"38 km WNW of Yonakuni, Japan",earthquake,5.8,4.1,0.063,24,reviewed,us,us
2021-02-06T16:09:49.572Z,-20.6949,-65.9255,357.57,4.5,mb,,176,3.235,1.11,us,us6000df5u,2021-02-06T16:56:48.040Z,"27 km NNE of Santa Bárbara, Bolivia",earthquake,14.4,13.4,0.271,4,reviewed,us,us
2021-02-06T14:54:28.667Z,38.5863,93.7853,10,4.5,mb,,100,20.261,0.62,us,us6000df5c,2021-02-06T16:07:21.040Z,"northern Qinghai, China",earthquake,12.6,1.9,0.108,25,reviewed,us,us
2021-02-06T10:21:12.989Z,7.5349,126.6515,75,4.6,mb,,81,1.159,0.71,us,us6000df4a,2021-02-07T04:43:19.916Z,"10 km ESE of Baganga, Philippines",earthquake,10,7.6,0.086,40,reviewed,us,us
2021-02-06T07:43:16.284Z,4.1354,-82.7696,10,4.6,mb,,147,4.629,0.85,us,us6000df36,2021-02-06T08:01:30.040Z,south of Panama,earthquake,8.9,1.9,0.083,44,reviewed,us,us
2021-02-06T07:05:02.490Z,19.156,-64.8158,78,4.99,md,29,209,1.2898,0.41,pr,pr2021037002,2021-02-09T18:04:44.185Z,"90 km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.67,7.52,0.08,17,reviewed,pr,pr
2021-02-05T23:55:21.059Z,-10.9786,-77.8094,68.15,4.7,mb,,141,1.379,0.66,us,us6000dez0,2021-02-06T16:02:14.556Z,"18 km WNW of Végueta, Peru",earthquake,8.6,7.7,0.045,151,reviewed,us,us
2021-02-05T22:32:30.177Z,-21.3543,-177.9025,337.04,4.5,mb,,103,7.824,0.93,us,us6000deyl,2021-02-05T23:38:37.040Z,"280 km W of Haveluloto, Tonga",earthquake,12.9,6.1,0.062,76,reviewed,us,us
2021-02-05T21:24:07.625Z,-42.7764,-82.4905,10,4.7,mb,,216,7.987,0.97,us,us6000dey3,2021-02-06T03:09:06.040Z,West Chile Rise,earthquake,11.6,1.8,0.108,26,reviewed,us,us
2021-02-05T20:34:45.998Z,-0.2165,124.4574,54.3,5.2,mb,,38,1.874,1,us,us6000dex7,2021-02-06T19:09:36.040Z,"173 km SSW of Tomohon, Indonesia",earthquake,6.4,5.3,0.042,197,reviewed,us,us
2021-02-05T15:41:34.243Z,-22.7765,171.7284,10,5.4,mww,,112,15.255,1.15,us,us6000detn,2021-02-06T15:44:09.977Z,southeast of the Loyalty Islands,earthquake,15.1,1.9,0.098,10,reviewed,us,us
2021-02-05T15:36:10.512Z,40.4948,45.3546,10,5.1,mww,,72,0.583,1.09,us,us6000detl,2021-02-06T11:12:21.516Z,"9 km SSW of Vahan, Armenia",earthquake,5.2,1.9,0.075,17,reviewed,us,us
2021-02-05T12:29:34.652Z,12.3765,-86.7634,148.47,4.8,mb,,131,0.24,0.84,us,us6000deqg,2021-02-05T13:00:55.040Z,"10 km WNW of La Paz Centro, Nicaragua",earthquake,7.2,4.9,0.03,339,reviewed,us,us
2021-02-05T09:07:57.947Z,-4.5002,102.2208,52.88,4.5,mb,,98,0.745,0.63,us,us6000deml,2021-02-05T09:23:51.040Z,"77 km S of Bengkulu, Indonesia",earthquake,7.3,8,0.125,19,reviewed,us,us
2021-02-05T07:53:34.641Z,6.827,-73.0564,152.92,4.5,mb,,79,0.928,1.18,us,us6000dem5,2021-02-07T22:02:18.237Z,northern Colombia,earthquake,7.1,8,0.098,30,reviewed,us,us
2021-02-05T07:07:54.255Z,-4.1349,150.4128,439.55,4.7,mb,,56,1.747,0.44,us,us6000delt,2021-02-05T07:35:05.040Z,"159 km N of Kimbe, Papua New Guinea",earthquake,11.9,8.8,0.083,44,reviewed,us,us
2021-02-04T23:49:49.472Z,11.9058,120.7929,10,4.8,mb,,85,6.735,0.7,us,us6000dej8,2021-02-05T00:22:30.040Z,"51 km SW of Santa Teresa, Philippines",earthquake,9.3,1.9,0.064,76,reviewed,us,us
2021-02-04T23:49:02.355Z,-20.2419,170.0643,96.86,4.8,mb,,102,18.225,0.78,us,us6000dej6,2021-02-05T00:10:49.040Z,"112 km SE of Isangel, Vanuatu",earthquake,14.4,6.9,0.061,83,reviewed,us,us
2021-02-04T22:00:43.233Z,14.5393,123.0159,10,5.1,mww,,72,7.838,0.74,us,us6000dein,2021-02-05T00:45:40.122Z,"37 km NNE of Sabang Indan, Philippines",earthquake,4.8,1.8,0.065,23,reviewed,us,us
2021-02-04T19:27:36.983Z,44.3841,147.7258,81.86,5,mb,,96,3.697,0.75,us,us6000dehm,2021-02-04T22:11:14.040Z,"94 km S of Kuril’sk, Russia",earthquake,9.7,5.8,0.04,205,reviewed,us,us
2021-02-04T17:02:03.773Z,36.7779,76.9025,95.84,4.5,mb,,84,4.31,1.14,us,us6000degv,2021-02-08T14:47:54.245Z,"175 km WSW of Zangguy, China",earthquake,3.5,7.6,0.079,47,reviewed,us,us
2021-02-04T12:14:26.978Z,-22.622,171.9411,10,5.7,mww,,71,15.369,1.03,us,us6000defh,2021-02-08T19:02:31.040Z,southeast of the Loyalty Islands,earthquake,6.7,1.8,0.053,34,reviewed,us,us
2021-02-04T08:14:03.056Z,21.6194,121.8954,10,5.4,mww,,42,1.411,1,us,us6000dedv,2021-02-07T04:43:08.116Z,"126 km ESE of Hengchun, Taiwan",earthquake,6.4,1.8,0.06,27,reviewed,us,us
2021-02-04T07:48:12.382Z,14.6073,118.8313,20.67,5.1,mww,,106,8.439,0.65,us,us6000dedr,2021-02-04T08:08:08.040Z,"139 km WSW of San Nicolas, Philippines",earthquake,8.1,5.4,0.071,19,reviewed,us,us
2021-02-04T05:28:28.571Z,-4.725,152.6517,61.86,4.8,mb,,124,5.91,0.69,us,us6000ded2,2021-02-04T05:47:58.040Z,"59 km SE of Kokopo, Papua New Guinea",earthquake,10.8,8.2,0.069,67,reviewed,us,us
2021-02-04T05:06:24.059Z,28.7477,87.3607,10,5.1,mb,,56,0.923,0.75,us,us6000decu,2021-02-06T06:13:17.612Z,"103 km NNE of Lobujya, Nepal",earthquake,5.6,1.8,0.05,129,reviewed,us,us
2021-02-03T18:33:40.746Z,2.4691,95.958,10,4.5,mb,,178,1.988,0.67,us,us6000de90,2021-02-03T20:50:51.040Z,"46 km W of Sinabang, Indonesia",earthquake,7.8,1.9,0.093,34,reviewed,us,us
2021-02-03T17:57:08.943Z,-39.0843,178.7346,10,4.6,mb,,185,1.447,0.56,us,us6000de86,2021-02-03T21:07:20.775Z,"79 km SE of Gisborne, New Zealand",earthquake,7.6,2,0.182,9,reviewed,us,us
2021-02-03T16:49:12.750Z,-6.1706,147.4362,49.41,5.1,mww,,27,4.1,0.94,us,us6000de7u,2021-02-03T22:10:45.441Z,"62 km NW of Finschhafen, Papua New Guinea",earthquake,8,4.9,0.053,34,reviewed,us,us
2021-02-03T16:35:52.662Z,-61.7804,-55.2269,10,5,mb,,72,1.684,0.9,us,us6000de92,2021-02-03T22:02:06.040Z,South Shetland Islands,earthquake,8.1,1.8,0.105,30,reviewed,us,us
2021-02-03T14:29:50.176Z,34.2655,78.2901,10,4.5,mb,,84,4.218,0.69,us,us6000de6k,2021-02-09T15:13:21.040Z,"66 km E of Leh, India",earthquake,6.4,1.9,0.083,45,reviewed,us,us
2021-02-03T11:41:55.568Z,-3.1779,-77.5966,35.23,4.9,mb,,118,1.803,0.74,us,us6000de5q,2021-02-03T12:00:13.040Z,"102 km SE of Sucúa, Ecuador",earthquake,3.8,7.7,0.036,237,reviewed,us,us
2021-02-03T11:11:15.883Z,-20.1515,-173.8087,10,5.1,mb,,73,6.503,1.19,us,us6000de5l,2021-02-03T11:32:52.040Z,"68 km ESE of Pangai, Tonga",earthquake,12.8,1.8,0.042,182,reviewed,us,us
2021-02-03T10:37:28.463Z,12.5064,-88.8051,60.43,4.7,mb,,158,1.752,0.54,us,us6000de5f,2021-02-03T10:58:49.040Z,"90 km SSW of Puerto El Triunfo, El Salvador",earthquake,8,8.1,0.036,240,reviewed,us,us
2021-02-03T10:20:20.432Z,55.044,165.6515,10,4.9,mb,,98,4.597,0.82,us,us6000de5d,2021-02-03T10:45:06.040Z,"239 km SE of Ust’-Kamchatsk Staryy, Russia",earthquake,6.2,1.9,0.034,273,reviewed,us,us
2021-02-03T09:55:07.140Z,10.4069,-12.9948,14.42,5,mb,,49,8.862,0.74,us,us6000de5b,2021-02-03T14:39:46.539Z,"39 km E of Tondon, Guinea",earthquake,8.5,3.8,0.052,116,reviewed,us,us
2021-02-03T08:42:25.839Z,23.1303,-107.9857,10,4.9,mb,,177,4.335,0.9,us,us6000de4r,2021-02-03T09:24:28.144Z,"137 km SW of Empaque Tarriba, Mexico",earthquake,9,1.9,0.029,373,reviewed,us,us
2021-02-03T08:25:38.490Z,-3.0087,118.9644,10,4.9,mb,,35,2.141,0.49,us,us6000de4n,2021-02-03T09:17:18.040Z,"37 km SSE of Mamuju, Indonesia",earthquake,4.9,1.9,0.082,46,reviewed,us,us
2021-02-03T05:23:44.293Z,-36.1899,-97.6645,10,6.7,mww,,70,13.422,1.07,us,us6000de34,2021-02-04T05:28:33.747Z,West Chile Rise,earthquake,10.2,1.8,0.048,41,reviewed,us,us
2021-02-03T01:44:33.507Z,-22.8165,171.8414,10,4.9,mb,,105,15.196,1.01,us,us6000de2l,2021-02-03T02:47:21.040Z,southeast of the Loyalty Islands,earthquake,14.4,1.9,0.099,32,reviewed,us,us
2021-02-03T01:38:56.444Z,-20.4132,-177.8065,531.23,4.5,mb,,86,6.079,1.04,us,us6000de2c,2021-02-03T01:56:58.040Z,"282 km WNW of Haveluloto, Tonga",earthquake,11.4,8.2,0.053,103,reviewed,us,us
